squadra;giocatore;ruolo
Atalanta;Ederson D.S.;M/C
Atalanta;Gaetano;M/C
Atalanta;Vismara;Por
Bologna;Alhassane;Ds/E
Bologna;Amondarain;M/C
Bologna;Happonen;Por
Cagliari;Aurelio;Ds/E
Cagliari;Kofler;Dc
Cagliari;Mendy P.;Pc
Cagliari;Winks;M/C
Como;Kaiki;Ds/E
Como;Kambwala;Dd/Dc
Como;Milla;M/C
Como;Paz N.;T/A
Como;Vigorito;Por
Fiorentina;Brescianini;C/T
Fiorentina;Dragusin;Dc
Fiorentina;Oulai;M/C
Fiorentina;Valdepenas;Ds/Dc
Fiorentina;Viery;Ds/Dc
Frosinone;Akpoguma;Dc
Frosinone;Amey;Dc
Frosinone;Birligea;Pc
Frosinone;Bobcek;Pc
Frosinone;Calò;M/C
Frosinone;Cittadini;Dc
Frosinone;Desplanches;Por
Frosinone;El Azzouzi A.;M/C
Frosinone;Grillitsch;M/C
Frosinone;Hasa;C/T
Frosinone;Kone B.;C
Frosinone;Omar Fayed;Dc
Frosinone;Pisseri;Por
Frosinone;Schmid;W/T
Frosinone;Tchato;Dd/E
Frosinone;Terzic;Ds/E
Frosinone;Zerbin;W
Genoa;Havel;Pc
Genoa;Meichtry;W/T
Genoa;Mitaj;Ds/E
Genoa;Osmajic;Pc
Genoa;Ostigard;Dc
Genoa;Puczka;Ds/E
Genoa;Sommariva;Por
Genoa;Sow;M/C
Genoa;Traorè Hj.;W/T
Genoa;Vitinha O.;A
Inter;Esposito F.P.;Pc
Inter;Stankovic A.;M/C
Juventus;Yildiz;A
Lazio;Dia;A
Lazio;Pedraza;Ds/E
Lazio;Pinamonti;Pc
Lazio;Renzetti;Por
Lecce;Bleve;Por
Lecce;Fatah;W/A
Lecce;Geubbels;Pc
Lecce;Gorter;M/C
Lecce;Laerke;W/A
Lecce;Penev;Por
Milan;Cissè A.;W/T
Milan;Diawara S.;Ds/Dc
Milan;Leao;A
Milan;Terracciano;Por
Monza;Cutrone;Pc
Monza;Foe Ondoa;C
Monza;Kouadio;Dd/Dc
Monza;Lucchesi;Dc
Monza;Mangas;Ds/E
Monza;Maye;Ds/Dc
Monza;Mout;C
Monza;Robinson J.;A
Monza;Tourè I.;E/M
Monza;Varela G.;Pc
Napoli;Favasuli;Dd/Ds/E
Napoli;Hojlund;Pc
Parma;Cremaschi;E/C
Parma;Daffara;Por
Parma;De Martis;Pc
Parma;Diallo O.;W/A
Parma;Lontani;A
Parma;Romero D.;Pc
Parma;Sorensen O.;C
Roma;De Marzi;Por
Roma;Konè M.;M/C
Roma;Lulli;E
Sassuolo;Bowie;Pc
Sassuolo;Cinquegrano;Dd/E
Sassuolo;Leysen F.;Ds/Dc
Sassuolo;Macchioni;Dc
Sassuolo;Obrador;Ds/E
Sassuolo;Russo A.;Por
Sassuolo;Satalino;Por
Sassuolo;Walukiewicz;Dd/Dc
Torino;Anjorin;C/T
Torino;Cacciamani;E/W
Torino;Comert;Dc
Torino;Fitz-Jim;M/C
Torino;Mascardi;Por
Udinese;Chakvetadze;W/T
Udinese;Gueye;Pc
Udinese;Mrozek;Por
Udinese;Piana;Por
Udinese;Unai Gomez;T
Udinese;Zanoli;Dd/E
Venezia;Adams A.;Pc
Venezia;Basic;M/C
Venezia;Bella-Kotchap;Dc
Venezia;Correia T.;Dd/E
Venezia;Gomes;Ds/Dc
Venezia;Halhal;Dc
Venezia;Helgason;C/T
Venezia;Lisman;W/A
Venezia;Montipò;Por
Venezia;Pozzi;Por
Venezia;Rrahmani Al.;Pc
