id giocatore;nome giocatore;cognome giocatore;squadra di provenienza;ruolo classic;ruolo mantra;data di nascita;nazionalita;stipendio lordo
5841;Svilar;;Roma;P;Por;;Serbia;4360000
5116;Martinez Jo.;;Inter;P;Por;;Spagna;2780000
4431;Carnesecchi;;Atalanta;P;Por;;Italia;1480000
6966;Butez;;Como;P;Por;;Francia;1110000
4964;Vicario;;Juventus;P;Por;;Italia;4630000
4312;Maignan;;Milan;P;Por;;Francia;6410000
2521;De Gea;;Fiorentina;P;Por;;Spagna;5560000
572;Meret;;Napoli;P;Por;;Italia;4630000
133;Skorupski;;Bologna;P;Por;;Polonia;2220000
4360;Caprile;;Cagliari;P;Por;;Italia;1410000
6482;Mandas;;Lazio;P;Por;;Grecia;1030000
2134;Falcone;;Lecce;P;Por;;Italia;1110000
6462;Okoye;;Udinese;P;Por;;Nigeria;900000
7332;Bijlow;;Genoa;P;Por;;Paesi Bassi;3150000
7411;Daffara;;Parma;P;Por;;;
4236;Muric;;Sassuolo;P;Por;;Kosovo;2130000
6248;Stankovic F.;;Venezia;P;Por;;Serbia;1110000
6415;Palmisani;;Frosinone;P;Por;;Italia;280000
4485;Thiam;;Monza;P;Por;;Senegal;930000
2170;Milinkovic-Savic V.;;Napoli;P;Por;;Serbia;4630000
7463;Desplanches;;Frosinone;P;Por;;;
2814;Provedel;;Inter;P;Por;;Italia;2780000
4;Sportiello;;Atalanta;P;Por;;Italia;1850000
7533;Happonen;;Bologna;P;Por;;;
7172;Pessina Mas.;;Bologna;P;Por;;Italia;280000
6650;Sherri;;Cagliari;P;Por;;Albania;220000
7301;Tornqvist;;Como;P;Por;;Svezia;280000
2809;Vigorito;;Como;P;Por;;;
6403;Christensen O.;;Fiorentina;P;Por;;Danimarca;640000
158;Lezzerini;;Fiorentina;P;Por;;Italia;280000
7466;Lolic;;Frosinone;P;Por;;Bosnia-Herzegovina;90000
219;Sommariva;;Genoa;P;Por;;;
6569;Stolz;;Genoa;P;Por;;Austria;300000
1926;Di Gennaro;;Inter;P;Por;;Italia;280000
1930;Pinsoglio;;Juventus;P;Por;;Italia;560000
7337;Motta;;Lazio;P;Por;;Italia;280000
7534;Renzetti;;Lazio;P;Por;;;
2815;Terracciano;;Milan;P;Por;;;
6813;Torriani;;Milan;P;Por;;Italia;370000
7475;Strajnar;;Monza;P;Por;;Slovenia;170000
2845;Contini;;Napoli;P;Por;;Italia;1110000
6662;Corvi;;Parma;P;Por;;Italia;930000
7048;De Marzi;;Roma;P;Por;;;
610;Gollini;;Roma;P;Por;;Italia;1480000
4518;Russo A.;;Sassuolo;P;Por;;;
4867;Turati;;Sassuolo;P;Por;;Italia;850000
7457;Mascardi;;Torino;P;Por;;;
5320;Paleari;;Torino;P;Por;;Italia;740000
7363;Siviero;;Torino;P;Por;;Italia;370000
543;Padelli;;Udinese;P;Por;;Italia;370000
5707;Piana;;Udinese;P;Por;;;
6671;Grandi;;Venezia;P;Por;;Italia;370000
7531;Pozzi;;Venezia;P;Por;;;
7545;Vismara;;Atalanta;P;Por;;;
2127;Satalino;;Sassuolo;P;Por;;;
7557;Penev;;Lecce;P;Por;;;
7560;Pisseri;;Frosinone;P;Por;;;
3;Radunovic;;Cagliari;P;Por;;Serbia;870000
4957;Montipò;;Venezia;P;Por;;;
4468;Bleve;;Lecce;P;Por;;;
7603;Grabara;;Juventus;P;Por;;Polonia;3150000
